model_id,records,answered,parse_rate,refusal_rate,hedged_rate,unparseable_rate,error_rate,attention_accuracy,mean_raw_fragility,mean_fragility,suppressed_cells,cost_usd,mean_latency_ms
openai/gpt-5.4-mini,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.46003554100974886,0.16104518083438424,0,0.597864,888.5636507936508
openai/gpt-5.6-luna,6300,6298,0.9996825396825397,0.0,0.0,0.00015873015873015873,0.00015873015873015873,1.0,0.4164011985364294,0.13117354180689175,0,0.1552234,989.3750793650794
google/gemini-2.5-flash-lite,6300,6043,0.9592063492063492,0.0,0.0,0.04079365079365079,0.0,1.0,0.37229663441842636,0.12130557086397986,59,0.0590932,549.2352380952381
google/gemini-2.5-flash,6300,6299,0.9998412698412699,0.0,0.0,0.00015873015873015873,0.0,1.0,0.4134758763559865,0.13566509511081934,0,0.1833355,703.8590476190476
anthropic/claude-sonnet-5,6300,6287,0.9979365079365079,0.0,0.0,0.0020634920634920637,0.0,1.0,0.3851201354017817,0.11574860976158435,2,1.97857,2090.4403174603176
x-ai/grok-4.20,6300,6014,0.9546031746031746,0.0,0.0,0.045396825396825394,0.0,1.0,0.5862453674256063,0.18993984856118,86,0.8404873,589.2058730158731
meta-llama/llama-3.1-70b-instruct,6300,5777,0.916984126984127,0.0,0.0,0.08301587301587302,0.0,1.0,0.6362509266468591,0.2141695141368242,148,0.3387268,404.4822222222222
meta-llama/llama-3.1-8b-instruct,6300,6224,0.9879365079365079,0.0074603174603174605,0.0,0.004603174603174603,0.0,0.9666666666666667,0.5490645366927553,0.19474238483832398,19,0.01551174,425.77238095238096
mistralai/mistral-medium-3.1,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.3310982572185533,0.10381640012960784,0,0.22640928,566.7528571428571
mistralai/mistral-small-3.2-24b-instruct,6300,6196,0.9834920634920635,0.0,0.0,0.01650793650793651,0.0,1.0,0.29808748255356654,0.10301279819557775,16,0.0458197,592.1280952380953
qwen/qwen3.8-27b,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.4045827825794571,0.12193740998002027,0,0.29269829,991.8819047619047
openai/gpt-4o-mini-2024-07-18,6300,5847,0.9280952380952381,0.0,0.0,0.0719047619047619,0.0,1.0,0.3857373850114209,0.12931753532683415,122,0.093534,573.4628571428572
deepseek/deepseek-v4-pro-0813,6300,6043,0.9592063492063492,0.0,0.0,0.04079365079365079,0.0,1.0,0.5824959771731275,0.20012513682276584,46,0.788498764,1243.1498412698413
deepseek/deepseek-v4-flash-0731,6300,5960,0.946031746031746,0.0006349206349206349,0.0,0.052222222222222225,0.0011111111111111111,0.93,0.6711052910861758,0.24642390478658838,74,0.04312739689,2389.543015873016
z-ai/glm-5.2,6300,6168,0.979047619047619,0.0009523809523809524,0.0,0.02,0.0,1.0,0.550652949519167,0.18281847529154305,12,0.404754596,1294.9368253968255
z-ai/glm-4.5-air,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.43562084603827733,0.13331206779934185,0,0.06929043,717.3385714285714
google/gemma-3-27b-it,6300,6295,0.9992063492063492,0.0,0.0,0.0007936507936507937,0.0,1.0,0.35034274248688296,0.10368160644002357,0,0.063497802,1801.1
nvidia/nemotron-3.5-lightning,6300,6294,0.9990476190476191,0.0,0.0,0.0006349206349206349,0.00031746031746031746,1.0,0.5391706194920672,0.19847317818897778,1,0.06829648,342.22507936507935
amazon/nova-lite-v1,6300,6299,0.9998412698412699,0.0,0.0,0.0,0.00015873015873015873,1.0,0.3575828662814073,0.11215117544952388,0,0.03559794,785.2911111111111
microsoft/phi-4,6300,1434,0.2276190476190476,0.0015873015873015873,0.0,0.7706349206349207,0.00015873015873015873,0.7966666666666666,0.16086203320322717,0.06297794106840757,1089,0.04706345,433.24142857142857
openai/gpt-4.1-mini,6300,6298,0.9996825396825397,0.0,0.0,0.00031746031746031746,0.0,1.0,0.3498898937871335,0.1071807992375905,1,0.2575888,857.0290476190477
